"","x"
"1","FALSE"
"2","FALSE"
"3","FALSE"
"4","TRUE"
"5","FALSE"
"6","TRUE"
"7","FALSE"
"8","TRUE"
"9","FALSE"
"10","TRUE"
"11","FALSE"
"12","FALSE"
"13","TRUE"
"14","TRUE"
"15","FALSE"
"16","TRUE"
"17","FALSE"
"18","FALSE"
"19","FALSE"
"20","TRUE"
"21","TRUE"
"22","FALSE"
"23","FALSE"
"24","FALSE"
"25","FALSE"
"26","TRUE"
"27","FALSE"
"28","TRUE"
"29","FALSE"
"30","TRUE"
"31","TRUE"
"32","TRUE"
"33","FALSE"
"34","FALSE"
"35","FALSE"
"36","FALSE"
"37","TRUE"
"38","TRUE"
"39","TRUE"
"40","TRUE"
"41","FALSE"
"42","TRUE"
"43","TRUE"
"44","FALSE"
"45","FALSE"
"46","TRUE"
"47","FALSE"
"48","FALSE"
"49","TRUE"
"50","FALSE"
"51","TRUE"
"52","TRUE"
"53","FALSE"
"54","TRUE"
"55","TRUE"
"56","TRUE"
"57","FALSE"
"58","TRUE"
"59","TRUE"
"60","TRUE"
"61","TRUE"
"62","FALSE"
"63","FALSE"
"64","TRUE"
"65","FALSE"
"66","FALSE"
"67","TRUE"
"68","FALSE"
"69","TRUE"
"70","TRUE"
"71","FALSE"
"72","FALSE"
"73","FALSE"
"74","TRUE"
"75","TRUE"
"76","TRUE"
"77","FALSE"
"78","TRUE"
"79","TRUE"
"80","FALSE"
"81","TRUE"
"82","TRUE"
"83","TRUE"
"84","FALSE"
"85","FALSE"
"86","TRUE"
"87","TRUE"
"88","FALSE"
"89","TRUE"
"90","TRUE"
"91","TRUE"
"92","FALSE"
"93","TRUE"
"94","FALSE"
"95","TRUE"
"96","TRUE"
"97","TRUE"
"98","TRUE"
"99","TRUE"
"100","TRUE"
"101","TRUE"
"102","FALSE"
"103","FALSE"
"104","TRUE"
"105","FALSE"
"106","FALSE"
"107","FALSE"
"108","TRUE"
"109","TRUE"
"110","TRUE"
"111","TRUE"
"112","TRUE"
"113","TRUE"
"114","FALSE"
"115","TRUE"
"116","TRUE"
"117","FALSE"
"118","TRUE"
"119","FALSE"
"120","FALSE"
"121","FALSE"
"122","TRUE"
"123","TRUE"
"124","FALSE"
"125","TRUE"
"126","TRUE"
"127","FALSE"
"128","FALSE"
"129","FALSE"
"130","TRUE"
"131","TRUE"
"132","TRUE"
"133","TRUE"
"134","TRUE"
"135","TRUE"
"136","FALSE"
"137","FALSE"
"138","FALSE"
"139","TRUE"
"140","FALSE"
"141","FALSE"
